TA,AREA_CLUSTER_OF_AREAS,TOTAL_NUMBER_OF_VENUES,TOTAL_NUMBER_OF_EGMS,TOTAL_GMP_NZD,DATE,INDEX
christchurch city,Papanui,3,36,636868.6599999999,2012-06-01,22
christchurch city,St Albans,3,54,674883.47,2013-06-01,22
christchurch city,Papanui,3,36,659754.1799999999,2013-06-01,22
christchurch city,St Albans,3,54,640696.11,2014-06-01,22
christchurch city,Papanui,3,36,639684.75,2014-06-01,22
auckland,Clarks Beach/ Patumahoe,3,44,300301.11000000004,2015-06-01,22
auckland,Howick,9,144,1946201.4299999997,2015-06-01,22
auckland,Highland Park/ Beachlands-Maretai/ Whitford,3,45,765975.11,2015-06-01,22
auckland,Papatoetoe,7,98,1923205.28,2015-06-01,22
auckland,Manurewa,11,162,3211654.94,2015-06-01,22
auckland,Manukau City,14,198,4454260.16,2015-06-01,22
auckland,Clendon/ Mangere East/ Wiri,3,41,980876.44,2015-06-01,22
auckland,Otara,3,54,780179.68,2015-06-01,22
auckland,Pakuranga,4,62,1270228.48,2015-06-01,22
auckland,East Tamaki/ Flat Bush,3,36,827514.4600000001,2015-06-01,22
auckland,Albany,8,108,1594534.7600000002,2015-06-01,22
auckland,Browns Bay,6,81,665605.5399999999,2015-06-01,22
auckland,Greenhithe/ Northcote,3,45,534798.38,2015-06-01,22
auckland,Takapuna Central,6,90,1470264.69,2015-06-01,22
auckland,Birkenhead,4,40,527481.1000000001,2015-06-01,22
auckland,Drury/ Papakura/ Takanini,13,216,3251592.4599999995,2015-06-01,22
auckland,Orewa,5,71,1035816.6599999999,2015-06-01,22
auckland,Snell’s Beach/ Wellsford,3,33,313824.92,2015-06-01,22
auckland,Warkworth,3,41,374632.66000000003,2015-06-01,22
auckland,New Lynn,6,65,1036753.2299999999,2015-06-01,22
auckland,Henderson,10,162,3433344.05,2015-06-01,22
auckland,Te Atatu,3,35,430906.17,2015-06-01,22
auckland,Gulf Harbour/ Red Beach/ Silverdale/ Stanmore Bay/ Whangaparoa,7,92,1122482.32,2015-06-01,22
auckland,Hobsonville/Massey/ Swanson/ Waitakere/West Harbour,6,88,1514474.9,2015-06-01,22
auckland,Glenfield / Mairangi Bay/ North Harbour,9,128,2745661.62,2015-06-01,22
auckland,Pukekohe/Kaiaua/Mercer,11,161,2128463.6799999997,2015-06-01,22
auckland,Glen Eden/ Kelston/ Titirangi,7,84,1845240.6400000001,2015-06-01,22
auckland,Mt Roskill/ Sandringham/ Three Kings/Royal Oak,5,78,1375418.0299999998,2015-06-01,22
auckland,Helensville/ Kaukapakapa/ Parakai/ Huapai/ Kumeu/ Riverhead,5,65,641673.6099999999,2015-06-01,22
christchurch city,St Albans,3,54,704687.6,2015-06-01,22
christchurch city,Papanui,3,36,640955.2800000001,2015-06-01,22
dunedin city,Andersons Bay/South Dunedin/ Caversham/ Kensington,5,66,642194.3600000001,2015-06-01,22
auckland,Clarks Beach/ Patumahoe,3,44,281909.39,2016-06-01,22
auckland,Howick,9,135,1937897.25,2016-06-01,22
auckland,Highland Park/ Beachlands-Maretai/ Whitford,3,45,931997.57,2016-06-01,22
auckland,Papatoetoe,7,98,1871221.52,2016-06-01,22
auckland,Manurewa,11,162,3593068.1100000003,2016-06-01,22
auckland,Manukau City,14,198,5074969.360000001,2016-06-01,22
auckland,Clendon/ Mangere East/ Wiri,3,41,1059859.71,2016-06-01,22
auckland,Otara,3,54,843127.0599999999,2016-06-01,22
auckland,Pakuranga,4,62,1360074.04,2016-06-01,22
auckland,East Tamaki/ Flat Bush,3,36,751468.6599999999,2016-06-01,22
auckland,Albany,7,99,1639923.9400000002,2016-06-01,22
auckland,Browns Bay,5,72,685208.1100000001,2016-06-01,22
auckland,Greenhithe/ Northcote,3,45,499456.70999999996,2016-06-01,22
auckland,Takapuna Central,6,90,1409462.19,2016-06-01,22
auckland,Birkenhead,4,40,526109.6699999999,2016-06-01,22
auckland,Drury/ Papakura/ Takanini,13,216,3600795.51,2016-06-01,22
auckland,Orewa,5,71,1109275.6600000001,2016-06-01,22
auckland,Snell’s Beach/ Wellsford,3,33,345564.01,2016-06-01,22
auckland,Warkworth,3,41,424718.49999999994,2016-06-01,22
auckland,New Lynn,6,65,1179922.46,2016-06-01,22
auckland,Henderson,10,162,3925015.68,2016-06-01,22
auckland,Te Atatu,3,35,470405.35000000003,2016-06-01,22
auckland,Gulf Harbour/ Red Beach/ Silverdale/ Stanmore Bay/ Whangaparoa,7,92,1072294.67,2016-06-01,22
auckland,Hobsonville/Massey/ Swanson/ Waitakere/West Harbour,6,88,1616134.71,2016-06-01,22
auckland,Glenfield / Mairangi Bay/ North Harbour,9,143,3019085.4,2016-06-01,22
auckland,Pukekohe/Kaiaua/Mercer,11,161,2164542.4500000007,2016-06-01,22
auckland,Glen Eden/ Kelston/ Titirangi,8,102,2150299.23,2016-06-01,22
auckland,Mt Roskill/ Sandringham/ Three Kings/Royal Oak,5,74,1342054.3599999999,2016-06-01,22
auckland,Helensville/ Kaukapakapa/ Parakai/ Huapai/ Kumeu/ Riverhead,5,65,787578.2,2016-06-01,22
christchurch city,St Albans,3,54,598935.8999999999,2016-06-01,22
christchurch city,Papanui,3,36,533272.85,2016-06-01,22
dunedin city,Andersons Bay/South Dunedin/ Caversham/ Kensington,5,63,686699.46,2016-06-01,22
auckland,Clarks Beach/ Patumahoe,3,44,335181.8299999999,2017-06-01,22
auckland,Howick,9,131,1753990.1100000008,2017-06-01,22
auckland,Highland Park/ Beachlands-Maretai/ Whitford,3,45,1140311.08,2017-06-01,22
auckland,Papatoetoe,6,92,1897335.3599999999,2017-06-01,22
auckland,Manurewa,11,162,3773351.9000000004,2017-06-01,22
auckland,Manukau City,14,181,5156500.09,2017-06-01,22
auckland,Clendon/ Mangere East/ Wiri,3,41,1086799.41,2017-06-01,22
auckland,Otara,3,54,940325.4399999998,2017-06-01,22
auckland,Pakuranga,4,62,1739254.9599999997,2017-06-01,22
auckland,East Tamaki/ Flat Bush,3,36,827538.2400000001,2017-06-01,22
auckland,Albany,7,99,1740875.5600000003,2017-06-01,22
auckland,Browns Bay,5,72,721051.5800000001,2017-06-01,22
auckland,Greenhithe/ Northcote,3,45,452160.16,2017-06-01,22
auckland,Takapuna Central,6,90,1433142.3700000003,2017-06-01,22
auckland,Birkenhead,4,40,501997.6300000001,2017-06-01,22
auckland,Drury/ Papakura/ Takanini,13,216,3534520.04,2017-06-01,22
auckland,Orewa,5,71,1040733.7299999999,2017-06-01,22
auckland,Snell’s Beach/ Wellsford,3,33,382534.91000000003,2017-06-01,22
auckland,Warkworth,3,41,413621.7499999999,2017-06-01,22
auckland,New Lynn,6,65,1127910.1100000003,2017-06-01,22
auckland,Henderson,10,145,3615354.8000000003,2017-06-01,22
auckland,Te Atatu,3,35,383070.47,2017-06-01,22
auckland,Gulf Harbour/ Red Beach/ Silverdale/ Stanmore Bay/ Whangaparoa,7,92,1117843.91,2017-06-01,22
auckland,Hobsonville/Massey/ Swanson/ Waitakere/West Harbour,6,71,1458746.73,2017-06-01,22
auckland,Glenfield / Mairangi Bay/ North Harbour,9,144,3531834.38,2017-06-01,22
auckland,Pukekohe/Kaiaua/Mercer,11,161,2274325.09,2017-06-01,22
auckland,Glen Eden/ Kelston/ Titirangi,8,102,2338431.01,2017-06-01,22
auckland,Mt Roskill/ Sandringham/ Three Kings/Royal Oak,5,78,1809975.01,2017-06-01,22
auckland,Helensville/ Kaukapakapa/ Parakai/ Huapai/ Kumeu/ Riverhead,4,60,750041.8500000001,2017-06-01,22
christchurch city,St Albans,3,54,680781.2199999997,2017-06-01,22
christchurch city,Papanui,3,36,479023.4099999999,2017-06-01,22
dunedin city,Andersons Bay/South Dunedin/ Caversham/ Kensington,5,63,736421.47,2017-06-01,22
auckland,Albany,7,99,1792222.28,2018-06-01,22
auckland,Birkenhead,4,40,586179.4499999997,2018-06-01,22
auckland,Browns Bay,5,64,705219.7700000001,2018-06-01,22
auckland,Clarks Beach/ Patumahoe,3,44,343067.05000000016,2018-06-01,22
auckland,Clendon/ Mangere East/ Wiri,3,41,1158771.19,2018-06-01,22
auckland,Drury/ Papakura/ Takanini,12,198,3546526.4000000004,2018-06-01,22
auckland,East Tamaki/ Flat Bush,3,36,793877.5699999998,2018-06-01,22
auckland,Glen Eden/ Kelston/ Titirangi,7,84,2436084.610000001,2018-06-01,22
auckland,Glenfield / Mairangi Bay/ North Harbour,9,126,3411534.05,2018-06-01,22
auckland,Greenhithe/ Northcote,3,36,462177.7100000001,2018-06-01,22
auckland,Gulf Harbour/ Red Beach/ Silverdale/ Stanmore Bay/ Whangaparoa,7,95,1058184.9699999997,2018-06-01,22
auckland,Helensville/ Kaukapakapa/ Parakai/ Huapai/ Kumeu/ Riverhead,4,60,786529.8900000001,2018-06-01,22
auckland,Henderson,9,144,3877333.66,2018-06-01,22
auckland,Highland Park/ Beachlands-Maretai/ Whitford,3,45,1193176.47,2018-06-01,22
auckland,Hobsonville/Massey/ Swanson/ Waitakere/West Harbour,5,70,1461614.3900000004,2018-06-01,22
auckland,Howick,8,122,1852892.1400000004,2018-06-01,22
auckland,Manukau City,13,172,5008871.33,2018-06-01,22
auckland,Manurewa,10,144,3960213.51,2018-06-01,22
auckland,Mt Roskill/ Sandringham/ Three Kings/Royal Oak,4,72,1672127.8099999998,2018-06-01,22
auckland,New Lynn,5,60,1160022.9600000002,2018-06-01,22
auckland,Orewa,5,65,1120017.72,2018-06-01,22
auckland,Otara,3,54,965332.6300000001,2018-06-01,22
auckland,Pakuranga,4,62,1934407.34,2018-06-01,22
auckland,Papatoetoe,6,92,2328562.82,2018-06-01,22
auckland,Pukekohe/Kaiaua/Mercer,11,143,2331780.8400000003,2018-06-01,22
auckland,Snell’s Beach/ Wellsford,3,33,356905.12,2018-06-01,22
auckland,Takapuna Central,6,88,1479536.67,2018-06-01,22
auckland,Te Atatu,3,35,436642.17999999993,2018-06-01,22
auckland,Warkworth,3,41,341830.9700000001,2018-06-01,22
dunedin city,Andersons Bay/South Dunedin/ Caversham/ Kensington,5,63,766362.2400000001,2018-06-01,22
auckland,Albany,7,99,1909333.23,2019-06-01,22
auckland,Birkenhead,4,40,481712.8199999997,2019-06-01,22
auckland,Browns Bay,5,64,680086.3200000001,2019-06-01,22
auckland,Clarks Beach/ Patumahoe,3,44,289341.28,2019-06-01,22
auckland,Clendon/ Mangere East/ Wiri,3,41,1196244.51,2019-06-01,22
auckland,Drury/ Papakura/ Takanini,11,180,3650774.0500000007,2019-06-01,22
auckland,East Tamaki/ Flat Bush,3,18,572306.2999999998,2019-06-01,22
auckland,Glen Eden/ Kelston/ Titirangi,7,84,2127215.6999999997,2019-06-01,22
auckland,Glenfield / Mairangi Bay/ North Harbour,8,126,3557938.3500000006,2019-06-01,22
auckland,Greenhithe/ Northcote,3,36,471629.70999999996,2019-06-01,22
auckland,Gulf Harbour/ Red Beach/ Silverdale/ Stanmore Bay/ Whangaparoa,7,96,1179209.1500000001,2019-06-01,22
auckland,Helensville/ Kaukapakapa/ Parakai/ Huapai/ Kumeu/ Riverhead,4,60,915657.9899999998,2019-06-01,22
auckland,Henderson,9,144,3893652.61,2019-06-01,22
auckland,Highland Park/ Beachlands-Maretai/ Whitford,3,45,1255757.65,2019-06-01,22
auckland,Hobsonville/Massey/ Swanson/ Waitakere/West Harbour,5,70,1447390.08,2019-06-01,22
auckland,Howick,8,111,1638142.6600000006,2019-06-01,22
auckland,Manukau City,14,198,5310004.120000001,2019-06-01,22
auckland,Manurewa,9,126,3985233.46,2019-06-01,22
auckland,Mt Roskill/ Sandringham/ Three Kings/Royal Oak,4,72,1003160.9,2019-06-01,22
auckland,New Lynn,5,60,1332828.4399999997,2019-06-01,22
auckland,Orewa,4,53,1063467.7,2019-06-01,22
auckland,Otara,3,54,1040305.1799999999,2019-06-01,22
auckland,Pakuranga,4,62,1968730.87,2019-06-01,22
auckland,Papatoetoe,6,92,2282015.89,2019-06-01,22
auckland,Pukekohe/Kaiaua/Mercer,11,161,2443778.34,2019-06-01,22
auckland,Snell’s Beach/ Wellsford,3,33,396226.92000000016,2019-06-01,22
auckland,Takapuna Central,5,81,1518583.6800000002,2019-06-01,22
auckland,Te Atatu,2,32,425765.6400000001,2019-06-01,22
auckland,Warkworth,3,41,359868.64,2019-06-01,22
dunedin city,Andersons Bay/South Dunedin/ Caversham/ Kensington,5,63,817118.01,2019-06-01,22
christchurch city,St Albans,3,54,609268.27,2012-03-01,22
christchurch city,Papanui,3,36,652634.1599999999,2012-03-01,22
christchurch city,St Albans,3,54,582738.28,2013-03-01,22
christchurch city,Papanui,3,36,564161.0900000001,2013-03-01,22
christchurch city,St Albans,3,54,622657.6599999999,2014-03-01,22
christchurch city,Papanui,3,36,578244.58,2014-03-01,22
auckland,Clarks Beach/ Patumahoe,3,44,318636.67,2015-03-01,22
auckland,Howick,9,144,1787645.7000000002,2015-03-01,22
auckland,Highland Park/ Beachlands-Maretai/ Whitford,3,45,785065.8400000001,2015-03-01,22
auckland,Papatoetoe,7,98,1799568.1999999997,2015-03-01,22
auckland,Manurewa,11,162,3022277.99,2015-03-01,22
auckland,Manukau City,14,198,3980404.63,2015-03-01,22
auckland,Clendon/ Mangere East/ Wiri,3,41,911079.45,2015-03-01,22
auckland,Otara,3,54,740962.99,2015-03-01,22
auckland,Pakuranga,4,62,1212893.0599999998,2015-03-01,22
auckland,East Tamaki/ Flat Bush,3,36,735445.8900000001,2015-03-01,22
auckland,Albany,8,108,1477952.9200000002,2015-03-01,22
auckland,Browns Bay,6,89,646908.02,2015-03-01,22
auckland,Greenhithe/ Northcote,3,45,469241.97000000003,2015-03-01,22
auckland,Takapuna Central,6,90,1294812.57,2015-03-01,22
auckland,Birkenhead,4,40,467423.38,2015-03-01,22
auckland,Drury/ Papakura/ Takanini,13,216,2939412.57,2015-03-01,22
auckland,Orewa,5,71,968808.94,2015-03-01,22
auckland,Snell’s Beach/ Wellsford,3,33,299433.42,2015-03-01,22
auckland,Warkworth,3,41,377312.56999999995,2015-03-01,22
auckland,New Lynn,6,65,947732.48,2015-03-01,22
auckland,Henderson,10,162,3087505.0199999996,2015-03-01,22
auckland,Te Atatu,3,35,415941.45999999996,2015-03-01,22
auckland,Gulf Harbour/ Red Beach/ Silverdale/ Stanmore Bay/ Whangaparoa,7,96,1060158.62,2015-03-01,22
auckland,Hobsonville/Massey/ Swanson/ Waitakere/West Harbour,6,88,1295848.8199999998,2015-03-01,22
auckland,Glenfield / Mairangi Bay/ North Harbour,9,128,2568448.5300000003,2015-03-01,22
auckland,Pukekohe/Kaiaua/Mercer,11,161,1953200.7400000002,2015-03-01,22
auckland,Glen Eden/ Kelston/ Titirangi,7,84,1735841.6800000002,2015-03-01,22
auckland,Mt Roskill/ Sandringham/ Three Kings/Royal Oak,5,78,1218506.96,2015-03-01,22
auckland,Helensville/ Kaukapakapa/ Parakai/ Huapai/ Kumeu/ Riverhead,5,65,591808.02,2015-03-01,22
christchurch city,St Albans,3,54,648677.45,2015-03-01,22
christchurch city,Papanui,3,36,566887.9800000001,2015-03-01,22
dunedin city,Andersons Bay/South Dunedin/ Caversham/ Kensington,5,66,620925.2000000001,2015-03-01,22
auckland,Clarks Beach/ Patumahoe,3,44,314290.41000000003,2016-03-01,22
auckland,Howick,9,144,1758496.9900000002,2016-03-01,22
auckland,Highland Park/ Beachlands-Maretai/ Whitford,3,45,805384.49,2016-03-01,22
auckland,Papatoetoe,7,98,1826401.67,2016-03-01,22
auckland,Manurewa,11,162,3076569.2900000005,2016-03-01,22
auckland,Manukau City,14,198,4505004.140000001,2016-03-01,22
auckland,Clendon/ Mangere East/ Wiri,3,41,942697.52,2016-03-01,22
auckland,Otara,3,54,746729.58,2016-03-01,22
auckland,Pakuranga,4,62,1316794.56,2016-03-01,22
auckland,East Tamaki/ Flat Bush,3,36,732643.53,2016-03-01,22
auckland,Albany,8,108,1494376.2899999998,2016-03-01,22
auckland,Browns Bay,5,72,697823.51,2016-03-01,22
auckland,Greenhithe/ Northcote,3,45,465321.55999999994,2016-03-01,22
auckland,Takapuna Central,6,90,1229126.85,2016-03-01,22
auckland,Birkenhead,4,40,521418.3899999999,2016-03-01,22
auckland,Drury/ Papakura/ Takanini,13,216,3177876.8999999994,2016-03-01,22
auckland,Orewa,5,71,986473.81,2016-03-01,22
auckland,Snell’s Beach/ Wellsford,3,33,339537.7,2016-03-01,22
auckland,Warkworth,3,41,365848.37,2016-03-01,22
auckland,New Lynn,6,65,1044022.51,2016-03-01,22
auckland,Henderson,10,162,3329486.9100000006,2016-03-01,22
auckland,Te Atatu,3,35,389729.64,2016-03-01,22
auckland,Gulf Harbour/ Red Beach/ Silverdale/ Stanmore Bay/ Whangaparoa,7,92,1097997.14,2016-03-01,22
auckland,Hobsonville/Massey/ Swanson/ Waitakere/West Harbour,6,88,1484752.92,2016-03-01,22
auckland,Glenfield / Mairangi Bay/ North Harbour,9,144,2770985.41,2016-03-01,22
auckland,Pukekohe/Kaiaua/Mercer,11,161,2062069.25,2016-03-01,22
auckland,Glen Eden/ Kelston/ Titirangi,8,102,1794365.62,2016-03-01,22
auckland,Mt Roskill/ Sandringham/ Three Kings/Royal Oak,5,74,1157836.47,2016-03-01,22
auckland,Helensville/ Kaukapakapa/ Parakai/ Huapai/ Kumeu/ Riverhead,5,65,673618.86,2016-03-01,22
christchurch city,St Albans,3,54,609243.93,2016-03-01,22
christchurch city,Papanui,3,36,557380.53,2016-03-01,22
dunedin city,Andersons Bay/South Dunedin/ Caversham/ Kensington,5,63,649147.59,2016-03-01,22
auckland,Clarks Beach/ Patumahoe,3,44,297570.47,2017-03-01,22
auckland,Howick,9,135,1809674.2900000003,2017-03-01,22
auckland,Highland Park/ Beachlands-Maretai/ Whitford,3,45,956958.9000000001,2017-03-01,22
auckland,Papatoetoe,6,92,1688976.5000000002,2017-03-01,22
auckland,Manurewa,11,162,3214019.7700000005,2017-03-01,22
auckland,Manukau City,14,198,4743653.33,2017-03-01,22
auckland,Clendon/ Mangere East/ Wiri,3,41,993752.31,2017-03-01,22
auckland,Otara,3,54,874331.78,2017-03-01,22
auckland,Pakuranga,4,62,1592612.3499999999,2017-03-01,22
auckland,East Tamaki/ Flat Bush,3,36,757687.4200000002,2017-03-01,22
auckland,Albany,7,99,1570520.44,2017-03-01,22
auckland,Browns Bay,5,72,694532.8900000002,2017-03-01,22
auckland,Greenhithe/ Northcote,3,45,432636.70000000024,2017-03-01,22
auckland,Takapuna Central,6,90,1185211.68,2017-03-01,22
auckland,Birkenhead,4,40,521665.56000000006,2017-03-01,22
auckland,Drury/ Papakura/ Takanini,13,216,3530520.42,2017-03-01,22
auckland,Orewa,5,71,994320.29,2017-03-01,22
auckland,Snell’s Beach/ Wellsford,3,33,360927.03,2017-03-01,22
auckland,Warkworth,3,41,331800.35999999987,2017-03-01,22
auckland,New Lynn,6,65,1075606.4599999997,2017-03-01,22
auckland,Henderson,10,162,3404938.23,2017-03-01,22
auckland,Te Atatu,3,35,380032.39000000013,2017-03-01,22
auckland,Gulf Harbour/ Red Beach/ Silverdale/ Stanmore Bay/ Whangaparoa,7,92,1018412.7799999999,2017-03-01,22
auckland,Hobsonville/Massey/ Swanson/ Waitakere/West Harbour,6,88,1518336.1000000003,2017-03-01,22
auckland,Glenfield / Mairangi Bay/ North Harbour,9,144,3144114.780000001,2017-03-01,22
auckland,Pukekohe/Kaiaua/Mercer,11,161,2077499.1900000006,2017-03-01,22
auckland,Glen Eden/ Kelston/ Titirangi,8,102,2066123.9400000002,2017-03-01,22
auckland,Mt Roskill/ Sandringham/ Three Kings/Royal Oak,5,78,1580322.1,2017-03-01,22
auckland,Helensville/ Kaukapakapa/ Parakai/ Huapai/ Kumeu/ Riverhead,4,60,654503.92,2017-03-01,22
christchurch city,St Albans,3,54,630974.1700000002,2017-03-01,22
christchurch city,Papanui,3,36,496877.5,2017-03-01,22
dunedin city,Andersons Bay/South Dunedin/ Caversham/ Kensington,5,63,732468.6500000003,2017-03-01,22
auckland,Clarks Beach/ Patumahoe,3,44,291754.55000000016,2018-03-01,22
auckland,Howick,8,122,1644334.92,2018-03-01,22
auckland,Highland Park/ Beachlands-Maretai/ Whitford,3,45,1120223.31,2018-03-01,22
auckland,Papatoetoe,6,92,2074578.09,2018-03-01,22
auckland,Manurewa,11,162,3648082.1199999996,2018-03-01,22
auckland,Manukau City,13,172,4550555.0200000005,2018-03-01,22
auckland,Clendon/ Mangere East/ Wiri,3,41,1008692.1200000001,2018-03-01,22
auckland,Otara,3,54,855178.91,2018-03-01,22
auckland,Pakuranga,4,62,1634993.8399999999,2018-03-01,22
auckland,East Tamaki/ Flat Bush,3,36,738785,2018-03-01,22
auckland,Albany,7,99,1613538.3699999999,2018-03-01,22
auckland,Browns Bay,5,72,654821.83,2018-03-01,22
auckland,Greenhithe/ Northcote,3,36,416761.67000000004,2018-03-01,22
auckland,Takapuna Central,6,88,1275754.36,2018-03-01,22
auckland,Birkenhead,4,40,579592.2099999998,2018-03-01,22
auckland,Drury/ Papakura/ Takanini,12,198,3367371.2399999998,2018-03-01,22
auckland,Orewa,5,65,1034000.2,2018-03-01,22
auckland,Snell’s Beach/ Wellsford,3,33,362963.06,2018-03-01,22
auckland,Warkworth,3,41,350432.19999999995,2018-03-01,22
auckland,New Lynn,5,60,987483.44,2018-03-01,22
auckland,Henderson,9,144,3516624.75,2018-03-01,22
auckland,Te Atatu,3,35,400621.69999999995,2018-03-01,22
auckland,Gulf Harbour/ Red Beach/ Silverdale/ Stanmore Bay/ Whangaparoa,7,92,988233.5900000004,2018-03-01,22
auckland,Hobsonville/Massey/ Swanson/ Waitakere/West Harbour,5,70,1269505.22,2018-03-01,22
auckland,Glenfield / Mairangi Bay/ North Harbour,9,144,3227100.2600000002,2018-03-01,22
auckland,Pukekohe/Kaiaua/Mercer,11,161,2241318.2500000005,2018-03-01,22
auckland,Glen Eden/ Kelston/ Titirangi,7,84,2158084.6,2018-03-01,22
auckland,Mt Roskill/ Sandringham/ Three Kings/Royal Oak,4,72,1535045.64,2018-03-01,22
auckland,Helensville/ Kaukapakapa/ Parakai/ Huapai/ Kumeu/ Riverhead,4,60,718436.1600000003,2018-03-01,22
dunedin city,Andersons Bay/South Dunedin/ Caversham/ Kensington,5,63,736721.93,2018-03-01,22
auckland,Albany,7,99,1759981.67,2019-03-01,22
auckland,Birkenhead,4,40,494943.58000000013,2019-03-01,22
auckland,Browns Bay,5,64,652080.3500000001,2019-03-01,22
auckland,Clarks Beach/ Patumahoe,3,44,297883.41000000003,2019-03-01,22
auckland,Clendon/ Mangere East/ Wiri,3,41,1077934.1,2019-03-01,22
auckland,Drury/ Papakura/ Takanini,12,198,3210572.1400000006,2019-03-01,22
auckland,East Tamaki/ Flat Bush,3,30,678695.6600000005,2019-03-01,22
auckland,Glen Eden/ Kelston/ Titirangi,7,84,1986241.37,2019-03-01,22
auckland,Glenfield / Mairangi Bay/ North Harbour,9,126,3303748.9000000004,2019-03-01,22
auckland,Greenhithe/ Northcote,3,36,447077.80000000005,2019-03-01,22
auckland,Gulf Harbour/ Red Beach/ Silverdale/ Stanmore Bay/ Whangaparoa,7,96,1059794.15,2019-03-01,22
auckland,Helensville/ Kaukapakapa/ Parakai/ Huapai/ Kumeu/ Riverhead,4,60,757201.3300000001,2019-03-01,22
auckland,Henderson,9,144,3579461.86,2019-03-01,22
auckland,Highland Park/ Beachlands-Maretai/ Whitford,3,45,1218857.6500000001,2019-03-01,22
auckland,Hobsonville/Massey/ Swanson/ Waitakere/West Harbour,5,70,1357984.1199999999,2019-03-01,22
auckland,Howick,8,111,1619319.8000000003,2019-03-01,22
auckland,Manukau City,14,198,4789242.91,2019-03-01,22
auckland,Manurewa,9,126,3575135.5699999994,2019-03-01,22
auckland,Mt Roskill/ Sandringham/ Three Kings/Royal Oak,4,72,994806.57,2019-03-01,22
