SOCIETY_NAME,VENUE_NAME,VENUE_PHYSICAL_ADDRESS,TERRITORIAL_AUTHORITY,COUNT_OF_EGM
TRUST HOUSE FOUNDATION,GREYTOWN HOTEL,"33 MAIN STREET
GREYTOWN
SOUTH WAIRARAPA 5953",SOUTH WAIRARAPA DISTRICT,9
THE SOUTHERN TRUST,CARRIERS ARMS,"96 PALMERSTON STREET
RIVERTON
SOUTHLAND 9822",SOUTHLAND DISTRICT,9
THE SOUTHERN TRUST,RANCH CAFE AND BAR,"111 TOWN CENTRE
TE ANAU
SOUTHLAND 9681",SOUTHLAND DISTRICT,9
THE TRUSTS COMMUNITY FOUNDATION LIMITED,NEW COMMERCIAL HOTEL,"339 BROADWAY
STRATFORD
TARANAKI 4352",STRATFORD DISTRICT,9
TRILLIAN TRUST,CLUB HOTEL,"83 MAIN STREET
PAHIATUA
MANAWATU 5470",TARARUA DISTRICT,9
MOTUEKA MEMORIAL R.S.A. INCORPORATED,MOTUEKA MEMORIAL RSA INCORPORATED,"49 HIGH STREET
MOTUEKA
TASMAN DISTRICT 7120
NEW ZEALAND",TASMAN DISTRICT,9
PUB CHARITY LIMITED,BRIGHTWATER MOTOR INN,"1 LIGHTBAND ROAD
BRIGHTWATER
TASMAN DISTRICT 7151",TASMAN DISTRICT,9
GRASSROOTS TRUST LIMITED,Pitch Sports Bar,"38-40 TUWHARETOA STREET
TAUPO
TAUPO DISTRICT 3351",TAUPO DISTRICT,9
PUB CHARITY LIMITED,Fox and Hounds,"92 Roberts Street
TAUPO
TAUPO DISTRICT 3330
NEW ZEALAND",TAUPO DISTRICT,9
Racing Industry Transition Agency ,TAB TAUPO,"36 TUWHARETOA STREET
TAUPO
TAUPO DISTRICT 3351",TAUPO DISTRICT,9
THE SOUTHERN TRUST,MULLIGAN'S PUBLIC HOUSE,"15 TONGARIRO STREET
TAUPO
TAUPO DISTRICT 3351",TAUPO DISTRICT,9
New Zealand Community Trust,MOUNT MELLICK,"317 MAUNGANUI ROAD
MT MAUNGANUI
BAY OF PLENTY 3150",TAURANGA DISTRICT,9
Racing Industry Transition Agency ,TAB CAMERON ROAD,"501 CAMERON ROAD
TAURANGA CENTRAL
TAURANGA 3001",TAURANGA DISTRICT,9
Racing Industry Transition Agency ,TAB MOUNT MAUNGANUI,"155 Maunganui Road
MT MAUNGANUI
BAY OF PLENTY 3150
NEW ZEALAND",TAURANGA DISTRICT,9
Racing Industry Transition Agency ,TAB Papamoa,"T6 42 Gravatt Road
PAPAMOA BEACH
BAY OF PLENTY 3118
NEW ZEALAND",TAURANGA DISTRICT,9
Racing Industry Transition Agency ,TAB Greerton,"1333 Cameron Road
TAURANGA SOUTH
TAURANGA 3112
NEW ZEALAND",TAURANGA DISTRICT,9
Racing Industry Transition Agency ,TAB Bethlehem,"245 State Highway 2 
BETHLEHEM
TAURANGA 3110
NEW ZEALAND",TAURANGA DISTRICT,9
TAURANGA SPORT FISHING CLUB INCORPORATED,TAURANGA GAME FISHING CLUB (INC),"66 KEITH ALLEN DRIVE TAURANGA MARINA
TAURANGA CENTRAL
TAURANGA 3001",TAURANGA DISTRICT,9
THE LION FOUNDATION (2008),ROSSCO'S CAFE AND BAR,"40 WHARF STREET
TAURANGA CENTRAL
TAURANGA 3001",TAURANGA DISTRICT,9
THE LION FOUNDATION (2008),MCSWIGGANS IRISH PUB,"SHOP 1 158 CAMBRIDGE ROAD
TAURANGA CENTRAL
TAURANGA 3001",TAURANGA DISTRICT,9
THE LION FOUNDATION (2008),BUNDY'S,"546 PAPAMOA BEACH ROAD
PAPAMOA
BAY OF PLENTY 3003",TAURANGA DISTRICT,9
THE NORTH AND SOUTH TRUST LIMITED,WORLDS END,"SHOP 7 FRASER COVE 229-233 FRASER STREET
TAURANGA CENTRAL
TAURANGA 3001",TAURANGA DISTRICT,9
THE SOUTHERN TRUST,IMBIBE,"19 GIRVEN ROAD
MT MAUNGANUI
BAY OF PLENTY 3116
NEW ZEALAND",TAURANGA DISTRICT,9
YOUTHTOWN INCORPORATED,THE MATUA,"SHOP 6 18 TILBY DRIVE
TAURANGA CENTRAL
TAURANGA 3001",TAURANGA DISTRICT,9
New Zealand Community Trust,COROMANDEL HOTEL,"611 KAPANAGA ROAD
COROMANDEL
WAIKATO 2851",THAMES-COROMANDEL DISTRICT,9
New Zealand Community Trust,STAR & GARTER HOTEL,"5 KAPANGA ROAD
COROMANDEL
WAIKATO 2851",THAMES-COROMANDEL DISTRICT,9
THE LION FOUNDATION (2008),Smokey Pallet,"413-419 PORT ROAD
WHANGAMATA
WAIKATO 3620
NEW ZEALAND",THAMES-COROMANDEL DISTRICT,9
TRILLIAN TRUST,PUNTERS BAR AND GRILL,"SHOPS 3 TO 5 THE MALL 7 MAIN ROAD
TAIRUA
WAIKATO 2853",THAMES-COROMANDEL DISTRICT,9
THE SOUTHERN TRUST,CROWN HERITAGE HOTEL,"31 TALBOT STREET
GERALDINE
CANTERBURY 8751",TIMARU DISTRICT,9
THE SOUTHERN TRUST,VILLAGE INN,"41 TALBOT STREET
GERALDINE
CANTERBURY 8751",TIMARU DISTRICT,9
GRASSROOTS TRUST LIMITED,Porterhouse Blues,"7A King Street
UPPER HUTT CENTRAL
UPPER HUTT 5018
NEW ZEALAND",UPPER HUTT CITY,9
PELORUS TRUST,Luanne's Bistro,"68 ARARINO STREET
TRENTHAM
UPPER HUTT 6007",UPPER HUTT CITY,9
PELORUS TRUST,CHARLTON'S SILVERSTREAM,"SHOP 9 THE VILLAGE
HERETAUNGA-SILVERSTREAM
UPPER HUTT 6007",UPPER HUTT CITY,9
Racing Industry Transition Agency ,TAB UPPER HUTT,"44 MAIN STREET
UPPER HUTT CENTRAL
UPPER HUTT 6007",UPPER HUTT CITY,9
THE LION FOUNDATION (2008),Long Horn Steak & Ale House,"2 MAIN STREET
UPPER HUTT CENTRAL
UPPER HUTT 6007",UPPER HUTT CITY,9
GRASSROOTS TRUST LIMITED,Bar 29,"29 George Street
TUAKAU
FRANKLIN 2121
NEW ZEALAND",WAIKATO DISTRICT,9
HUNTLY RETURNED SERVICES ASSOCIATION INCORPORATED,HUNTLY RSA,"42 WILLIAM STREET
HUNTLY
WAIKATO 3700",WAIKATO DISTRICT,9
PUB CHARITY LIMITED,Podges Place,"2 ROOSE ROAD
MERCER
FRANKLIN 2474
NEW ZEALAND",WAIKATO DISTRICT,9
THE LION FOUNDATION (2008),TAUPIRI TAVERN,"THE CRESCENT
TAUPIRI
WAIKATO 2171",WAIKATO DISTRICT,9
The Ngaruawahia R.S.A Memorial Club Inc,NGARUAWAHIA RSA MEMORIAL CLUB,"4 MARKET STREET
NGARUAWAHIA
WAIKATO 3720",WAIKATO DISTRICT,9
THE SOUTHERN TRUST,THE BACKYARD BAR & EATERY,"1333 HOROTIU ROAD RD9
WHATAWHATA
WAIKATO 2050",WAIKATO DISTRICT,9
PUB CHARITY LIMITED,MANDEVILLE TAVERN,"99 RAVEN QUAY
KAIAPOI
CANTERBURY 7630",WAIMAKARIRI DISTRICT,9
THE LION FOUNDATION (2008),Craft Bar and Kitchen Kaiapoi,"UNITS 3-4 KAIAPOI CROSSING 77 HILTON STREET
KAIAPOI
CANTERBURY 7630",WAIMAKARIRI DISTRICT,9
TRUST AORAKI LIMITED,PINEACRES TAVERN,"740 MAIN NORTH ROAD
KAIAPOI
CANTERBURY 7630",WAIMAKARIRI DISTRICT,9
GRASSROOTS TRUST LIMITED,Oval Sports Bar ,"13/670 Cambridge Road
TE AWAMUTU
WAIKATO 3800
NEW ZEALAND",WAIPA DISTRICT,9
PUB CHARITY LIMITED,THE CLUBHOUSE CAFE & SPORTS BAR,"CAMBRIDGE RACEWAY TAYLOR STREET
CAMBRIDGE
WAIKATO 3434",WAIPA DISTRICT,9
Racing Industry Transition Agency ,TAB Cambridge,"75 Duke Street
CAMBRIDGE
WAIKATO 3434
NEW ZEALAND",WAIPA DISTRICT,9
GRASSROOTS TRUST LIMITED,Riverside Lodge,"1 RIVERSIDE LANE
TE KUITI
WAIKATO 2500",WAITOMO DISTRICT,9
New Zealand Community Trust,RED LION INN,"45-47 ANZAC PARADE
WANGANUI
WANGANUI DISTRICT 4540",WANGANUI DISTRICT,9
Racing Industry Transition Agency ,TAB WANGANUI,"5B PURIRI STREET
GONVILLE
WANGANUI DISTRICT 5001",WANGANUI DISTRICT,9
THE LION FOUNDATION (2008),THE GRAND HOTEL,"99 GUYTON STREET
WANGANUI
WANGANUI DISTRICT 4540",WANGANUI DISTRICT,9
New Zealand Community Trust,THE GREEN MAN,"15 WILLESTON STREET
WELLINGTON CENTRAL
WELLINGTON 6011",WELLINGTON CITY,9
Racing Industry Transition Agency ,TAB Johnsonville,"28 Johnsonville Road
JOHNSONVILLE
WELLINGTON 6037
NEW ZEALAND",WELLINGTON CITY,9
THE LION FOUNDATION (2008),The Borough,"162-168 Main Road
TAWA SOUTH
WELLINGTON 5028
NEW ZEALAND",WELLINGTON CITY,9
New Zealand Community Trust,FORTA LEZA RESTAURANT,"2656 STATE HIGHWAY 2
KATIKATI
BAY OF PLENTY 3063",WESTERN BAY OF PLENTY DISTRICT,9
New Zealand Community Trust,LAVA EAST TAURANGA,"17 PLUMMERS POINT ROAD RD2
OMOKOROA
BAY OF PLENTY 3021",WESTERN BAY OF PLENTY DISTRICT,9
One Foundation Limited,Hippy Pipi,"500 PUKEHINA PARADE
PUKEHINA
BAY OF PLENTY 3070",WESTERN BAY OF PLENTY DISTRICT,9
PUB CHARITY LIMITED,PIONEER HOTEL,"80 GIBSON QUAY
HOKITIKA
WESTLAND 7900",WESTLAND DISTRICT,9
THE LION FOUNDATION (2008),STUMPERS,"94-96 REVELL STREET
HOKITIKA
WESTLAND 7900",WESTLAND DISTRICT,9
THE LION FOUNDATION (2008),BEACHFRONT HOTEL,"111 REVELL STREET
HOKITIKA
WESTLAND 7900",WESTLAND DISTRICT,9
PUB CHARITY LIMITED,OFFICE BAR & GRILL,"80 THE STRAND
WHAKATANE CENTRAL
WHAKATANE 3080",WHAKATANE DISTRICT,9
RANGITAIKI COSMOPOLITAN CLUB INCORPORATED,RANGITAIKI COSMOPOLITAN CLUB,"11 BRIDGE STREET
EDGECUMBE
WHAKATANE 3082",WHAKATANE DISTRICT,9
PELORUS TRUST,Triple Crown,"SHOP 14 47 VINE STREET
WHANGAREI CENTRAL
NORTHLAND 0110",WHANGAREI DISTRICT,9
New Zealand Community Trust,BLUE PUB,"CORNER BARKERS ROAD AND KILWORTH STREET
METHVEN
CANTERBURY 8353",ASHBURTON DISTRICT,8
CLARKS BEACH GOLF CLUB INCORPORATED,CLARKS BEACH GOLF CLUB,"100 STEVENSON ROAD
CLARKS BEACH
AUCKLAND 2122",Auckland Council - Franklin,8
EAST COAST BAYS RETURNED SERVICES ASSOCIATION INCORPORATED,EAST COAST BAYS RSA,"784 Beach Road
BROWNS BAY
NORTH SHORE CITY 0630
NEW ZEALAND",AUCKLAND COUNCIL - HIBISCUS AND BAYS,8
PAKURANGA RUGBY LEAGUE COMMUNITY SPORTS CLUB INCORPORATED,PAKURANGA RUGBY LEAGUE COMMUNITY SPORTS CLUB,"27R WILLIAM ROBERTS ROAD
PAKURANGA
MANUKAU 2010
NEW ZEALAND",Auckland Council - Howick,8
Racing Industry Transition Agency ,TAB GLEN EDEN,"UNIT 6 5-9 CAPTAIN SCOTT ROAD
GLEN EDEN
AUCKLAND 1004",Auckland Council - Waitakere Ranges,8
TRILLIAN TRUST,THE FOX,"UNIT 15R GROUND FLOOR WATERMARK PLAZA 85-89 CUSTOMS STREET WEST
AUCKLAND CENTRAL
AUCKLAND 1010",AUCKLAND COUNCIL - WAITEMATA,8
TRILLIAN TRUST,The Cav,"68 COLLEGE HILL
PONSONBY
AUCKLAND 1001",AUCKLAND COUNCIL - WAITEMATA,8
New Zealand Community Trust,MILLER BAR & CAFE,"308 LINCOLN ROAD
ADDINGTON
CHRISTCHURCH 8002",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,8
PUB CHARITY LIMITED,WAIPAPAKAURI HOTEL,"MAIN ROAD
WAIPAPAKAURI
NORTHLAND 0500",FAR NORTH DISTRICT,8
THE TRUSTS COMMUNITY FOUNDATION LIMITED,LONGFORD TAVERN,"HAMILTON STREET
GORE
SOUTHLAND 9700",GORE DISTRICT,8
THE LION FOUNDATION (2008),EAGLE HOTEL,"134 GORE STREET
BLUFF
INVERCARGILL 9503",INVERCARGILL CITY,8
KAIWAKA SPORTS ASSOCIATION INCORPORATED,THREE FURLONGS HOTEL,"MAIN ROAD
KAIWAKA
NORTHLAND 0573",KAIPARA DISTRICT,8
PUB CHARITY LIMITED,MANGAWHAI TAVERN,"MOIR ROAD
MANGAWHAI
NORTHLAND 0505",KAIPARA DISTRICT,8
One Foundation Limited,PUNTERS CORNER SPORTS BAR AND TAB,"284 Rangiuru Road
OTAKI
KAPITI COAST 5512
NEW ZEALAND",KAPITI COAST DISTRICT,8
COMBINED SERVICES CLUB TWIZEL INC,COMBINED SERVICES CLUB,"OHAU ROAD
TWIZEL
CANTERBURY 8773",MACKENZIE DISTRICT,8
THE SOUTHERN TRUST,RAZZA BAR & CAFE,"28 TASMAN ROAD
TWIZEL
CANTERBURY 8773",MACKENZIE DISTRICT,8
TRUST AORAKI LIMITED,LAKE TEKAPO TAVERN,"STATE HIGHWAY 8
LAKE TEKAPO
CANTERBURY 8770",MACKENZIE DISTRICT,8
New Zealand Community Trust,BUTLERS REEF,"1133 South Road
OAKURA
TARANAKI 4650
NEW ZEALAND",NEW PLYMOUTH DISTRICT,8
THE SOUTHERN TRUST,Bridge Cafe & Bar,"MCLEAN STREET
WAITARA
TARANAKI 4320",NEW PLYMOUTH DISTRICT,8
THE SOUTHERN TRUST,The Prince Albert,"20 Alison Avenue
Albert Town
WANAKA
OTAGO 9305
NEW ZEALAND",QUEENSTOWN-LAKES DISTRICT,8
THE SOUTHERN TRUST,Selwyn Tavern,"14-16 KOKAKO STREET
SELWYN HEIGHTS
ROTORUA DISTRICT 3201",ROTORUA DISTRICT,8
AIR RESCUE SERVICES LIMITED,WEST MELTON TAVERN,"MAIN WEST COAST ROAD
WEST MELTON
CHRISTCHURCH 7676",SELWYN DISTRICT,8
THE TRUSTS COMMUNITY FOUNDATION LIMITED,Silver Dollar Bar & Restaurant,"869/871 Jones Road
ROLLESTON
CANTERBURY 7677
NEW ZEALAND",SELWYN DISTRICT,8
New Zealand Community Trust,OPUNAKE SURF INN,"28 TASMAN STREET
OPUNAKE
TARANAKI 4854",SOUTH TARANAKI DISTRICT,8
PUB CHARITY LIMITED,WAKEFIELD HOTEL,"48 EDWARD STREET
WAKEFIELD
TASMAN DISTRICT 7181",TASMAN DISTRICT,8
One Foundation Limited,THE RISING TIDE,"107 NEWTON STREET
MT MAUNGANUI
BAY OF PLENTY 3150",TAURANGA DISTRICT,8
Milestone Foundation Limited,KOPU STATION HOTEL,"CORNER STATE HIGHWAY 25 AND STATE HIGHWAY 26 KOPU RD1
THAMES
WAIKATO 2801",THAMES-COROMANDEL DISTRICT,8
THE LION FOUNDATION (2008),ROYAL TAVERN WAIMATE,"30 SHEARMAN STREET
WAIMATE
SOUTH CANTERBURY 8791",WAIMATE DISTRICT,8
WAIMATE TOWN & COUNTRY CLUB INC,WAIMATE TOWN & COUNTRY CLUB,"14 JOHN STREET
WAIMATE
SOUTH CANTERBURY 8791",WAIMATE DISTRICT,8
FIRST LIGHT COMMUNITY FOUNDATION LIMITED,SUNSET POINT TAVERN,"CORNER RATAU AND NEWCASTLE STREETS
MAHIA BEACH
HAWKES BAY 4192",WAIROA DISTRICT,8
New Zealand Community Trust,WAIHEMO LODGE HOTEL,"13-15 RUNBRAKE STREET
PALMERSTON
NORTH OTAGO 9061",WAITAKI DISTRICT,8
PIOPIO COSMOPOLITAN CLUB INCORPORATED,PIOPIO COSMOPOLITAN CLUB INCORPORATED,"42 MOA STREET
PIOPIO
WAIKATO 2555",WAITOMO DISTRICT,8
AIR RESCUE SERVICES LIMITED,Phat Duck Ashburton,"360 WEST STREET
ASHBURTON
CANTERBURY 8300",ASHBURTON DISTRICT,7
FOUR WINDS FOUNDATION LIMITED,Arcadia Restaurant & Bar,"78-80 TANCRED STREET
ASHBURTON
CANTERBURY 8300
NEW ZEALAND",ASHBURTON DISTRICT,7
THE LION FOUNDATION (2008),Railway Hotel Rakaia,"RAILWAY TERRACE
RAKAIA
CANTERBURY 8355",ASHBURTON DISTRICT,7
YOUTHTOWN INCORPORATED,SOUTH RAKAIA HOTEL,"41 RAILWAY TERRACE EAST
RAKAIA
CANTERBURY 8355",ASHBURTON DISTRICT,7
FOUR WINDS FOUNDATION LIMITED,Jellicoe Bar,"137 THE MALL
ONEHUNGA
AUCKLAND 1006",Auckland Council - Maungakiekie - Tamaki,7
MOUNT WELLINGTON BOWLING CLUB INCORPORATED,MT WELLINGTON BOWLING CLUB,"3A MATAPAN ROAD
PANMURE
AUCKLAND 1741",Auckland Council - Maungakiekie - Tamaki,7
Royal Oak Bowls Inc,Royal Oak Bowls Inc,"146 Selwyn Street
ONEHUNGA
AUCKLAND 1061
NEW ZEALAND",AUCKLAND COUNCIL - MAUNGAKIEKIE - TAMAKI,7
HOBSONVILLE RETURNED SERVICES ASSOCIATION INCORPORATED,HOBSONVILLE RSA,"114 HOBSONVILLE ROAD
HOBSONVILLE
WAITAKERE CITY 1008",Auckland Council - Upper Harbour,7
PUB CHARITY LIMITED,SHAKESPEARE HOTEL,"61 ALBERT STREET
AUCKLAND CENTRAL
AUCKLAND 1010",AUCKLAND COUNCIL - WAITEMATA,7
WAIPUKURAU CLUB INC,WAIPUKURAU CLUB,"10 RUSSELL STREET
WAIPUKURAU
HAWKES BAY 4176",CENTRAL HAWKE'S BAY DISTRICT,7
THE SOUTHERN TRUST,RANFURLY HOTEL,"10 CHARLEMONT STREET EAST
RANFURLY
OTAGO 9071",CENTRAL OTAGO DISTRICT,7
SOUTH OTAGO TOWN & COUNTRY CLUB INC,SOUTH OTAGO TOWN AND COUNTRY CLUB,"1 YARMOUTH STREET
BALCLUTHA
OTAGO 9230",CLUTHA DISTRICT,7
MATAURA RSA INC,MATAURA RSA,"49 RIVER STREET
MATAURA
SOUTHLAND 9690",GORE DISTRICT,7
GREYMOUTH RETURNED SERVICES ASSOCIATION INC,GREYMOUTH RSA MEMORIAL CLUB,"181 Tainui Street
GREYMOUTH
GREY DISTRICT 7805
NEW ZEALAND",GREY DISTRICT,7
FRANKTON RAILWAY BOWLING CLUB (INC),FRANKTON RAILWAY BOWLING CLUB,"51A RIFLE RANGE ROAD
FRANKTON
HAMILTON 3204",HAMILTON CITY,7
Glenview Club Incorporated,GLENVIEW CLUB,"211-217 PEACOCKS ROAD
GLENVIEW
HAMILTON 2001",HAMILTON CITY,7
Foxton Returned Services and Community Association Incorporated,FOXTON RETURNED SERVICES ASSOCIATION,"1 EASTON STREET
FOXTON
MANAWATU 4814
NEW ZEALAND",HOROWHENUA DISTRICT,7
Levin Club Incorporation,LEVIN CLUB,"262 OXFORD STREET
LEVIN
MANAWATU 5500",HOROWHENUA DISTRICT,7
CLUB SOUTHLAND (INC),CLUB SOUTHLAND,"115 LEET STREET
INVERCARGILL CENTRAL
INVERCARGILL 9801
NEW ZEALAND",INVERCARGILL CITY,7
New Zealand Community Trust,GOLDEN AGE TAVERN,"86 GORE STREET
BLUFF
INVERCARGILL 9503",INVERCARGILL CITY,7
GOLDEN COAST CHARTERED CLUB INC,GOLDEN COAST CHARTERED CLUB,"25 HINEMOA STREET
PARAPARAUMU
KAPITI COAST 5254",KAPITI COAST DISTRICT,7
THE STOKES VALLEY MEMORIAL R.S.A. INCORPORATED,STOKES VALLEY RSA CLUBROOMS,"21 HAWTHORN CRESCENT
STOKES VALLEY
LOWER HUTT 5141
NEW ZEALAND",LOWER HUTT CITY,7
Morrinsville & District Memorial RSA Inc,MORRINSVILLE DISTRICT RSA,"27 STUDHOLME STREET
MORRINSVILLE
WAIKATO 3300
NEW ZEALAND",MATAMATA-PIAKO DISTRICT,7
THE TE AROHA MEMORIAL RSA INC,TE AROHA MEMORIAL RSA,"67 REWI STREET
TE AROHA
WAIKATO 3342
NEW ZEALAND",MATAMATA-PIAKO DISTRICT,7
MANAWATU DARTS ASSOCIATION INC,MANAWATU DARTS ASSOCIATION HALL,"324 TREMAINE AVENUE
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 4412
NEW ZEALAND",PALMERSTON NORTH CITY,7
New Zealand Community Trust,BUNNYTHORPE TAVERN,"CORNER DIXONS LINE AND CAMPBELL ROAD
BUNNYTHORPE
MANAWATU 5453",PALMERSTON NORTH CITY,7
ROTORUA CLUB INCORPORATED,ROTORUA CLUB,"274 FENTON STREET
ROTORUA WEST
ROTORUA 3201",ROTORUA DISTRICT,7
OHAKUNE CLUB INC,OHAKUNE CLUB,"71 GOLDFINCH STREET
OHAKUNE
MANAWATU 5461",RUAPEHU DISTRICT,7
AIR RESCUE SERVICES LIMITED,Ascot Sports House and Eaterie,"198 HILTON HIGHWAY
WASHDYKE
CANTERBURY 8602",TIMARU DISTRICT,7
Timaru South Cosmopolitan Club Incorporated,TIMARU SOUTH COSMOPOLITAN CLUB,"44 BROWNE STREET
TIMARU
TIMARU 7910",TIMARU DISTRICT,7
TRUST AORAKI LIMITED,EMPIRE HOTEL,"50 KING STREET
TEMUKA
CANTERBURY 7986",TIMARU DISTRICT,7
THE AKARANA COMMUNITY TRUST LIMITED,Station 32,"20-32 ARAWATA STREET
TE AWAMUTU
WAIKATO 3800
NEW ZEALAND",WAIPA DISTRICT,7
THE OTEMATATA DISTRICT CLUB INC,OTEMATATA DISTRICT CLUB,"Sefton Lane
OTEMATATA
NORTH OTAGO 9412
NEW ZEALAND",WAITAKI DISTRICT,7
QUOTA CLUB TE KUITI INC,QUOTA CLUB TE KUITI,"71 TAUPIRI STREET
TE KUITI
WAIKATO 2500",WAITOMO DISTRICT,7
KATIKATI R.S.A. AND CITIZENS CLUB INCORPORATED,KATIKATI R.S.A. AND CITIZENS CLUB,"HENRY ROAD
KATIKATI
BAY OF PLENTY 3063",WESTERN BAY OF PLENTY DISTRICT,7
Hokitika Club Incorporated,HOKITIKA CHARTERED CLUB,"42 HAMILTON STREET
HOKITIKA
WESTLAND 7810
NEW ZEALAND",WESTLAND DISTRICT,7
THE BIRKENHEAD BOWLING CLUB INCORPORATED,THE BIRKENHEAD BOWLING CLUB INCORPORATED,"93 MOKOIA ROAD
BIRKENHEAD
NORTH SHORE CITY 0626
NEW ZEALAND",AUCKLAND COUNCIL - KAIPATIKI,6
THE LION FOUNDATION (2008),Grand Slam Sports Bar,"23 MASKELL STREET
GLENDOWIE
AUCKLAND 1071",AUCKLAND COUNCIL - ORAKEI,6
Huapai Golf Club Incorporated,HUAPAI GOLF CLUB,"1261 COATESVILLE RIVERHEAD HIGHWAY
RIVERHEAD
RODNEY DISTRICT 0820",AUCKLAND COUNCIL - RODNEY,6
New Zealand Community Trust,The Salty Dog Inn,"242 MAHURANGI EAST ROAD
SNELLS BEACH
RODNEY DISTRICT 1241",AUCKLAND COUNCIL - RODNEY,6
BLOCKHOUSE BAY BOWLS INCORPORATED,BLOCKHOUSE BAY BOWLING CLUB,"33 TERRY STREET
BLOCKHOUSE BAY
AUCKLAND 0644
NEW ZEALAND",Auckland Council - Whau,6
New Lynn Bowling Club Inc,New Lynn Bowling Club,"3 REID ROAD
NEW LYNN
WAITAKERE CITY 1007",Auckland Council - Whau,6
THE LION FOUNDATION (2008),HOTEL REEFTON,"BROADWAY
REEFTON
BULLER 8290",BULLER DISTRICT,6
THE TRUSTS COMMUNITY FOUNDATION LIMITED,COSMOPOLITAN HOTEL,"136 PALMERSTON STREET
WESTPORT URBAN
BULLER 7621",BULLER DISTRICT,6
New Zealand Community Trust,GRAND TAVERN,"94 SCOTLAND STREET
ROXBURGH
OTAGO 9156",CENTRAL OTAGO DISTRICT,6
THE TRUSTS COMMUNITY FOUNDATION LIMITED,COACHES & HORSES INN,"7 ROSS PLACE
LAWRENCE
OTAGO 9153",CLUTHA DISTRICT,6
THE SOUTHERN TRUST,TIPPLERS BAR AND CAFE,"11 NORTH ROAD
NORTH EAST VALLEY
DUNEDIN 9001",DUNEDIN CITY,6
BLUESKY COMMUNITY TRUST LIMITED,ROADRUNNER TAVERN,"STATE HIGHWAY 11
OPUA
NORTHLAND 0272",FAR NORTH DISTRICT,6
THE TRUSTS COMMUNITY FOUNDATION LIMITED,CROYDON LODGE,"100 WAIMEA STREET
GORE
SOUTHLAND 9700",GORE DISTRICT,6
New Zealand Community Trust,AMBERLEY HOTEL,"84 CARTERS ROAD
AMBERLEY
CANTERBURY 7410",HURUNUI DISTRICT,6
THE TRUSTS COMMUNITY FOUNDATION LIMITED,CHEVIOT HOTEL,"58 HALL STREET
CHEVIOT
CANTERBURY 8271",HURUNUI DISTRICT,6
